variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,strong_reference_regression_rate,strong_easy_mean_dPSNR,strong_easy_p05_dPSNR,fold,gate_kind,threshold,threshold_low,gamma,tau,fold_tail_pass
V221_risk_temperature_gamma1p00,fold2,480,2.2328179121017455,1.5136032104492188,-0.08391494750976562,0.005283546447753905,-0.039627393086751304,4.510717233022054,0.6287519454956054,0.9625,1,0.0020833333333333333,120,3,0.025,0.6287519454956054,-9.384155273437492e-05,2,predicted_risk_temperature,,,1.0,,1
V221_risk_temperature_gamma1p00,fold3,480,2.168196527163188,1.4358978271484375,-0.2536101150512695,0.0002744674682617184,-0.1609333356221517,4.082893657684326,0.6374253273010254,0.95,7,0.014583333333333334,120,2,0.016666666666666666,0.6374253273010254,-0.004438972473144531,3,predicted_risk_temperature,,,1.0,,1
V221_risk_temperature_gamma1p00,fold4,480,2.190205725034078,1.5478391647338867,-0.08994678497314453,0.009298515319824218,-0.08695268630981445,4.31621618270874,0.7579893747965495,0.9645833333333333,3,0.00625,120,0,0.0,0.7579893747965495,0.0023242950439453123,4,predicted_risk_temperature,,,1.0,,1
V221_risk_temperature_gamma2p00,fold0,480,2.0099061091740924,1.2326774597167969,-0.00023258209228515625,0.0026403427124023437,-0.02236207326253255,4.211885293324788,0.5662137985229492,0.98125,1,0.0020833333333333333,120,0,0.0,0.5662137985229492,0.00011253356933593753,0,predicted_risk_temperature,,,2.0,,1
V221_risk_temperature_gamma2p00,fold1,480,2.1365513920784,1.4002704620361328,-0.00013225555419921876,0.0016666412353515624,-0.008640766143798828,4.19444530804952,0.6442055066426595,0.9729166666666667,0,0.0,120,0,0.0,0.6442055066426595,0.0,1,predicted_risk_temperature,,,2.0,,1
V221_risk_temperature_gamma2p00,fold2,480,2.13414226770401,1.348775863647461,-7.061004638671874e-05,0.00043220520019531243,-0.005143801371256511,4.442265907923381,0.5126681963602702,0.975,0,0.0,120,1,0.008333333333333333,0.5126681963602702,2.5939941406250003e-05,2,predicted_risk_temperature,,,2.0,,1
V221_risk_temperature_gamma2p00,fold3,480,2.0787380854288737,1.29833984375,-0.10183815002441406,0.00017280578613281246,-0.05211249987284342,4.014006614685059,0.4971086819966634,0.9625,1,0.0020833333333333333,120,1,0.008333333333333333,0.4971086819966634,3.242492675781252e-06,3,predicted_risk_temperature,,,2.0,,1
V221_risk_temperature_gamma2p00,fold4,480,2.103509485721588,1.4514694213867188,-0.003997879028320312,0.0005285263061523437,-0.028391202290852863,4.290649271011352,0.6443809191385905,0.975,2,0.004166666666666667,120,0,0.0,0.6443809191385905,0.00013542175292968753,4,predicted_risk_temperature,,,2.0,,1
V221_risk_temperature_gamma4p00,fold0,480,1.8408259789148966,1.0207481384277344,-3.814697265625e-06,3.814697265625e-06,-0.006582101186116536,4.096926466623942,0.4052385648091634,0.9645833333333333,0,0.0,120,0,0.0,0.4052385648091634,0.0,0,predicted_risk_temperature,,,4.0,,1
V221_risk_temperature_gamma4p00,fold1,480,1.9830379287401836,1.1028728485107422,0.0,7.62939453125e-06,-1.430511474609375e-06,4.060917107264201,0.47856019337972006,0.9625,0,0.0,120,0,0.0,0.47856019337972006,0.0,1,predicted_risk_temperature,,,4.0,,1
