source,feature,bucket,count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,worst_count_le_-0.20,worst_per_600,strong_count_le_-0.05,strong_per_600
D8_train_derived,od_sky_ratio,q3,600,0.0858825397491455,0.08756226857503255,0.11102434794108072,2.3434261480967205e-05,0.6933333333333334,41,41.0,41,41.0
D8_train_derived,od_sky_ratio,q4_high,600,0.049988902409871416,0.053289604187011716,0.07465161641438801,9.472668170928956e-06,0.595,26,26.0,31,31.0
D8_train_derived,pred_gain,q1_low,600,-0.008224426905314127,-0.005932757059733073,-0.0071451822916666664,1.5676021575927734e-07,0.4866666666666667,34,34.0,36,36.0
D8_train_derived,pred_gain,q2,600,0.027565752665201823,0.026890233357747397,0.011104583740234375,1.0897815227508545e-05,0.615,65,65.0,49,49.0
D8_train_derived,pred_gain,q3,600,0.09537490526835124,0.07107036590576171,0.09999198913574218,1.8776158491770426e-05,0.7016666666666667,56,56.0,43,43.0
D8_train_derived,pred_gain,q4_high,600,0.19847163200378418,0.1955051294962565,0.1867894999186198,4.6329001585642496e-05,0.8316666666666667,31,31.0,27,27.0
D8_train_derived,pred_severe_prob,q1_low,665,0.059690002211950775,0.0763249454728092,0.08012817566653332,9.47570442257071e-06,0.6526315789473685,9,8.120300751879698,26,23.458646616541355
D8_train_derived,pred_severe_prob,q2,535,0.055075233673380915,0.06679246658669379,0.03445985263451598,1.2684982513712945e-05,0.6560747663551402,16,17.943925233644862,27,30.2803738317757
D8_train_derived,pred_severe_prob,q3,600,0.09206562042236328,0.11722030639648437,0.05141652425130208,2.3479064305623374e-05,0.695,46,46.0,43,43.0
D8_train_derived,pred_severe_prob,q4_high,600,0.10585707346598307,0.12212346394856771,0.035381800333658855,3.0867656071980794e-05,0.6316666666666667,115,115.00000000000001,55,54.99999999999999
