feature,direction,threshold,objective,count,selected_count,coverage,mean_psnr_delta,median_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,mean_ssim_delta,positive_ratio,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.060824578255414964,-0.05054084928830466,600,480,0.8,0.02711773872375488,8.20159912109375e-05,0.008933321634928385,0.05059600830078125,-1.68954332669576e-05,0.5,42.755948066711426,31,57,0.03489198048909505,0.030863316853841145,0.03217159589131673
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,<=,0.06105191819369793,-0.047912398258845,600,150,0.25,-0.005734923680623372,0.0,-0.0035294214884440105,-0.0085736083984375,-8.729199568430582e-06,0.12666666666666668,42.755948066711426,11,25,0.0012589295705159504,0.0006795914967854818,0.0002799224853515625
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.06105191819369793,-0.03674454220136006,600,450,0.75,0.03013885815938314,0.0,0.009889081319173177,0.05177792867024739,-1.4577011267344157e-05,0.47833333333333333,42.755948066711426,28,51,0.03537173906962077,0.031461178461710614,0.0328036371866862
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,<=,0.061251286044716836,-0.0464469309647878,600,180,0.3,-0.002905543645222982,0.0,-0.0012403233846028645,-0.0073099517822265625,-8.79138708114624e-06,0.16,42.755948066711426,12,27,0.003889042536417643,0.003002611796061198,0.0026430988311767576
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.061251286044716836,-0.038210009495417266,600,420,0.7,0.027309478123982746,0.0,0.007599983215332031,0.05051427205403646,-1.45148237546285e-05,0.445,42.755948066711426,27,49,0.03274162610371908,0.029138158162434896,0.030440460840861
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,<=,0.06144924461841583,-0.05599338165918986,600,210,0.35,-0.0035597991943359373,0.0,-0.004415486653645833,-0.005496444702148437,-1.0526378949483235e-05,0.185,42.755948066711426,14,32,0.004261633555094401,0.0030775801340738934,0.0026687208811442056
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.06144924461841583,-0.02866355880101522,600,390,0.65,0.027963733673095702,0.0,0.010775146484375,0.04870076497395833,-1.2779831886291504e-05,0.42,42.755948066711426,25,44,0.03236903508504232,0.0290631898244222,0.030414838790893555
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,<=,0.06163111999630928,-0.0650774221420288,600,240,0.4,-0.004624643325805664,0.0,-0.007681719462076823,-0.0064035288492838545,-1.3614892959594726e-05,0.20666666666666667,42.755948066711426,17,36,0.0044798978169759114,0.0033860460917154948,0.002971487045288086
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.06163111999630928,-0.019579518318176274,600,360,0.6,0.029028577804565428,0.0,0.01404137929280599,0.04960784912109375,-9.691317876180013e-06,0.3983333333333333,42.755948066711426,22,40,0.032150770823160806,0.028754723866780598,0.030112072626749673
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,<=,0.06178149487823248,-0.07186426591873168,600,270,0.45,-0.006160694758097331,0.0,-0.00831701914469401,-0.00670379638671875,-1.643796761830648e-05,0.235,42.755948066711426,19,39,0.004908885955810547,0.0036850802103678385,0.0033315881093343097
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.06178149487823248,-0.01279267454147339,600,330,0.55,0.030564629236857096,0.0,0.014676678975423177,0.049908116658528644,-6.868243217468262e-06,0.37,42.755948066711426,20,37,0.03172178268432617,0.028455689748128257,0.029751971562703452
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,<=,0.061915358528494835,-0.07270943188667296,600,300,0.5,-0.003954906463623047,0.0,-0.0012554168701171876,-0.004684600830078125,-1.7352799574534098e-05,0.27,42.755948066711426,19,43,0.006812769571940104,0.005525128046671549,0.005102945963541667
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.061915358528494835,-0.011947508573532106,600,300,0.5,0.028358840942382814,0.0,0.007615076700846354,0.04788892110188802,-5.953411261240641e-06,0.335,42.755948066711426,20,33,0.029817899068196613,0.026615641911824545,0.027980613708496093
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,<=,0.062040535546839234,-0.08218192871411642,600,330,0.55,-0.004211368560791015,0.0,-0.007108535766601563,-0.004765828450520833,-2.162386973698934e-05,0.29833333333333334,42.755948066711426,21,48,0.007978102366129558,0.006500072479248047,0.006133693059285482
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.062040535546839234,-0.002475011746088664,600,270,0.45,0.02861530303955078,0.0,0.013468195597330729,0.04797014872233073,-1.6823410987854005e-06,0.30666666666666664,42.755948066711426,18,28,0.02865256627400716,0.025640697479248048,0.02694986661275228
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,<=,0.06221342757344246,-0.08555866090456644,600,360,0.6,-0.00057037353515625,0.0,-0.008825276692708333,-0.005548578898111979,-2.2653440634409587e-05,0.33166666666666667,42.755948066711426,23,53,0.011342201232910156,0.009805425008138021,0.00942137082417806
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.06221342757344246,0.0009017204443613671,600,240,0.4,0.024974308013916015,0.0,0.0151849365234375,0.04875289916992188,-6.52770201365153e-07,0.2733333333333333,42.755948066711426,16,23,0.025288467407226563,0.022335344950358074,0.0236621888478597
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,<=,0.06233918648213148,-0.09025582512219747,600,390,0.65,0.0016982714335123698,0.0,-0.009143218994140626,-0.001284764607747396,-2.3132264614105226e-05,0.36333333333333334,42.755948066711426,25,58,0.014088706970214844,0.01217943827311198,0.012008450826009114
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.06233918648213148,0.005598884661992391,600,210,0.35,0.022705663045247397,0.0,0.015502878824869792,0.04448908487955729,-1.7394622166951498e-07,0.24166666666666667,42.755948066711426,14,18,0.022541961669921874,0.019961331685384113,0.021075108846028645
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,<=,0.062464581429958345,-0.09237272771199544,600,420,0.7,0.003402992884318034,0.0,-0.004506492614746093,0.0020645904541015626,-2.5199254353841145e-05,0.3883333333333333,42.755948066711426,28,61,0.01570977528889974,0.01369053840637207,0.013454055786132813
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,>=,0.062464581429958345,0.007677926381429039,600,180,0.3,0.02100094159444173,0.0,0.01086615244547526,0.04113972981770833,1.8930435180664063e-06,0.21666666666666667,42.755948066711426,11,15,0.02092089335123698,0.018450231552124025,0.01962950388590495
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage3_beta_abs_mean,<=,0.06260922364890575,-0.09416536641120911,600,450,0.75,0.004668709437052409,0.0,-0.005119082132975261,0.006743265787760417,-2.560645341873169e-05,0.42333333333333334,42.755948066711426,30,63,0.017415647506713868,0.01533424695332845,0.015036662419637045
