feature_group,alpha,coverage_target,risk_weight,score,oof_gate_pass,heldout_gate_pass,oof_mean_delta,oof_hard_bottom25_delta,oof_easy_top25_delta,oof_worst_ratio,oof_strong_ratio,heldout_mean_delta,heldout_hard_bottom25_delta,heldout_easy_top25_delta,heldout_worst_ratio,heldout_strong_ratio,gain_features,risk_features
cheap_pre,0.25,0.3,1.5,0.2408497862133303,False,False,0.14528159379959107,0.03468091472369213,0.25658122359038454,0.015833333333333335,0.03240058910162003,0.07908116976420085,0.0426933856158933,0.31472622508734044,0.018333333333333333,0.04225352112676056,"input_highfreq_energy,input_saturation_std,input_saturation_mean","input_highfreq_energy,input_edge_mean,depth_grad_mean"
cheap_pre,0.5,0.2,2.0,0.24028855159676402,False,False,0.13033840815226236,0.03917157055240391,0.24341315829876772,0.025416666666666667,0.039764359351988215,0.07839861551920572,0.06315853026498973,0.20298562922947844,0.025,0.07042253521126761,"input_highfreq_energy,input_saturation_std,input_saturation_mean","input_highfreq_energy,input_edge_mean,depth_grad_mean"
all,1.0,0.05,1.0,0.23972376859075906,False,False,0.00699969212214152,0.10004657985331439,-0.049110491251208116,0.025416666666666667,0.026509572901325478,0.08911457379659017,0.17624041943401614,-0.006595611572265625,0.018333333333333333,0.014084507042253521,"udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean","udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean"
all,1.0,0.05,0.5,0.23832865884109125,False,False,0.006968282858530681,0.0986828793672574,-0.047350359595050164,0.025416666666666667,0.026509572901325478,0.08911457379659017,0.17624041943401614,-0.006595611572265625,0.018333333333333333,0.014084507042253521,"udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean","udp_a0_luma_shift_mean,input_edge_mean,bright_channel_mean"
cheap_pre,0.25,0.3,1.0,0.23660613560521065,False,False,0.1481140152613322,0.03529508512087344,0.27146082949743705,0.015416666666666667,0.033873343151693665,0.07577118555704752,0.03062288488896248,0.3402661605620048,0.015,0.04225352112676056,"input_highfreq_energy,input_saturation_std,input_saturation_mean","input_highfreq_energy,input_edge_mean,depth_grad_mean"
cheap_pre,0.5,0.2,1.5,0.22914145564451477,False,False,0.13569004853566488,0.03570905838509185,0.26328777599756076,0.023333333333333334,0.039764359351988215,0.07291790962219238,0.04256678782532372,0.23619778055540272,0.023333333333333334,0.07042253521126761,"input_highfreq_energy,input_saturation_std,input_saturation_mean","input_highfreq_energy,input_edge_mean,depth_grad_mean"
cheap_pre,0.25,0.3,0.5,0.22605911818024696,False,False,0.15362840016682944,0.023268519668413604,0.3002983228096379,0.015416666666666667,0.039764359351988215,0.07654760996500651,0.02177678672500135,0.39916143283038075,0.015,0.04225352112676056,"input_highfreq_energy,input_saturation_std,input_saturation_mean","input_highfreq_energy,input_edge_mean,depth_grad_mean"
cheap_pre,0.5,0.2,1.0,0.2215892707703868,False,False,0.1382465124130249,0.03501531307195634,0.27169446425515176,0.022083333333333333,0.041237113402061855,0.06700215975443523,0.029652730816375837,0.24469493812238666,0.025,0.08450704225352113,"input_highfreq_energy,input_saturation_std,input_saturation_mean","input_highfreq_energy,input_edge_mean,depth_grad_mean"
all,0.25,0.3,1.0,0.21070282406091811,False,False,0.15617151896158854,0.011894350196689432,0.3173173783629562,0.006666666666666667,0.030927835051546393,0.07802437464396159,0.007249535161318664,0.3933978013589349,0.01,0.04225352112676056,"input_highfreq_energy,input_saturation_std,udp_a0_low_high_abs_ratio","udp_a0_low_high_abs_ratio,input_highfreq_energy,udp_a0_lowfreq_abs_mean"
all,0.25,0.3,1.5,0.20968620423121004,False,False,0.1538752222061157,0.011894350196689432,0.3123428221128124,0.00625,0.030927835051546393,0.0781921641031901,0.009641099553619702,0.3933978013589349,0.01,0.04225352112676056,"input_highfreq_energy,input_saturation_std,udp_a0_low_high_abs_ratio","udp_a0_low_high_abs_ratio,input_highfreq_energy,udp_a0_lowfreq_abs_mean"
