operator_label,split,feature,bin,n,feature_min,feature_max,direct_severe_le_0p2_rate,direct_hard_le_0p5_rate,fixed025_severe_le_0p2_rate,fixed05_severe_le_0p2_rate,wrong_direction_rate,harmful_overshoot_rate,wrong_or_harmful_rate,oracle_image_alpha_eq0_rate,oracle_image_alpha_le_0p125_rate,oracle_image_alpha_gt_0p125_rate,direct_psnr_delta_mean,fixed_alpha_0p125_psnr_delta_mean,fixed_alpha_0p25_psnr_delta_mean,oracle_image_selected_alpha_mean,alpha_star_mean,oracle_image_psnr_delta_mean
D_rep,CONFIRM_AUDIT_ONLY,t_mean,3,120,0.4228845715077159,0.5351249140543718,0.325,0.13333333333333333,0.041666666666666664,0.11666666666666667,0.2833333333333333,0.275,0.5583333333333333,0.2916666666666667,0.35,0.65,-0.02834694815513412,0.024441303567288606,0.0408750897359696,0.45989583333333334,0.6163027487450012,0.18201783828546372
D_rep,CONFIRM_AUDIT_ONLY,t_mean,4,120,0.5357089098895191,0.8409993578735218,0.30833333333333335,0.075,0.0,0.075,0.38333333333333336,0.23333333333333334,0.6166666666666667,0.39166666666666666,0.4583333333333333,0.5416666666666666,-0.043846073480629556,0.014300520710305223,0.022918096532511534,0.4046875,0.42653011437642047,0.12357216120107022
D_rep,OOF,t_mean,0,240,0.10431201264233969,0.2673026766949139,0.1375,0.075,0.008333333333333333,0.06666666666666667,0.2,0.15416666666666667,0.3541666666666667,0.20416666666666666,0.22916666666666666,0.7708333333333334,0.21015515758831238,0.04322321397380261,0.0818649055133424,0.65,1.29066476002177,0.304539701015482
D_rep,OOF,t_mean,1,240,0.2684953733346163,0.33930608687283237,0.18333333333333332,0.09583333333333334,0.020833333333333332,0.07916666666666666,0.2375,0.12916666666666668,0.36666666666666664,0.25,0.2833333333333333,0.7166666666666667,0.1651567401463182,0.0374959303491652,0.07029733839046763,0.64375,1.4354221477830515,0.28985845149600625
D_rep,OOF,t_mean,2,240,0.34034454251053975,0.41527966458226123,0.21666666666666667,0.09166666666666666,0.008333333333333333,0.07916666666666666,0.24166666666666667,0.2125,0.45416666666666666,0.25,0.3125,0.6875,0.06506733963166386,0.033316333052947227,0.059645154829006126,0.5346354166666667,nan,0.2088953135739712
D_rep,OOF,t_mean,3,240,0.4153282246221064,0.5253040333490359,0.2833333333333333,0.0875,0.004166666666666667,0.06666666666666667,0.2791666666666667,0.3416666666666667,0.6208333333333333,0.2833333333333333,0.3625,0.6375,-0.025493543196929765,0.023571600683334283,0.039509676326849166,0.42421875,0.4934749422358997,0.14108859261303702
D_rep,OOF,t_mean,4,240,0.5257155597188375,0.8733790411411655,0.29583333333333334,0.12083333333333333,0.016666666666666666,0.125,0.37083333333333335,0.275,0.6458333333333334,0.39166666666666666,0.49166666666666664,0.5083333333333333,-0.06799687323090163,0.011910814784287741,0.017947740787387544,0.36497395833333335,0.33741238523803685,0.11412735083343005
D_ref,CONFIRM_AUDIT_ONLY,t_p10,0,125,0.007843137718737125,0.027450980618596077,0.056,0.024,0.024,0.024,0.104,0.08,0.184,0.104,0.12,0.88,0.4450668724293413,0.06885977082791038,0.1343340440401553,0.80625,2.1902884764893122,0.4954565533727933
D_ref,CONFIRM_AUDIT_ONLY,t_p10,1,140,0.027450980618596077,0.054901961237192154,0.11428571428571428,0.05714285714285714,0.014285714285714285,0.05714285714285714,0.19285714285714287,0.12142857142857143,0.3142857142857143,0.19285714285714287,0.22142857142857142,0.7785714285714286,0.22573112697281966,0.041381208621230035,0.0791846607106211,0.6870535714285714,1.347325635220958,0.30692431167455236
D_ref,CONFIRM_AUDIT_ONLY,t_p10,2,126,0.054901961237192154,0.10588235408067703,0.25396825396825395,0.15079365079365079,0.023809523809523808,0.12698412698412698,0.3253968253968254,0.2619047619047619,0.5873015873015873,0.3333333333333333,0.42063492063492064,0.5793650793650794,-0.024532553940471498,0.020650164588381616,0.034493889952803405,0.4392361111111111,0.6236408540888518,0.1697139460638409
