feature_set,probe,threshold,coverage,precision,recall
feature_set_2,linear,0.6633277249336242,0.22003845332193975,0.7597087378640777,0.33433027130954923
feature_set_2,linear,0.6759580612182617,0.2000106814783166,0.7674232309746328,0.30698568681905575
feature_set_2,linear,0.6892436218261719,0.18003631702627643,0.776624147137348,0.27964110232856226
feature_set_2,linear,0.7032011628150939,0.16000854518265328,0.7873831775700935,0.2519760734885708
feature_set_2,linear,0.7177793383598328,0.1400341807306131,0.799771167048055,0.22399060029908138
feature_set_2,linear,0.7344165587425232,0.12000640888698996,0.8170894526034713,0.19611194189275796
feature_set_2,linear,0.7538551807403565,0.1000320444349498,0.8302189001601709,0.16609698782311472
feature_set_2,linear,0.7798175406455994,0.08000427259132664,0.8538050734312417,0.13661610766930143
feature_set_2,linear,0.8123410928249359,0.06002990813928648,0.895017793594306,0.10745567186498611
feature_set_2,linear,0.849220309257507,0.04000213629566332,0.9212283044058746,0.07370220038453322
feature_set_2,linear,0.8966371929645539,0.020027771843623157,0.9306666666666666,0.03727835932493057
feature_set_2,linear,0.9826835989952087,5.3407391582995086e-05,1.0,0.00010681478316599017
feature_set_2,mlp,2.050192233582493e-05,1.0,0.5,1.0
feature_set_2,mlp,0.00463420795276761,0.9799722281563769,0.5100550438716006,0.999679555650502
feature_set_2,mlp,0.014116940274834632,0.9599978637043367,0.5202225312934632,0.9988250373851741
feature_set_2,mlp,0.030488369576632975,0.9399700918607136,0.5305113636363636,0.9973296304208502
feature_set_2,mlp,0.05434644743800162,0.9199957274086734,0.5411587135725067,0.9957274086733604
feature_set_2,mlp,0.08818372562527657,0.8999679555650502,0.5510058750222538,0.9917752616962188
feature_set_2,mlp,0.12517497599124908,0.87999359111301,0.5616313649329369,0.9884640034180731
feature_set_2,mlp,0.15765360176563267,0.8599658192693869,0.5709849708110794,0.9820551164281136
feature_set_2,mlp,0.18541703760623932,0.8399914548173467,0.5811927772126144,0.9763939329203162
feature_set_2,mlp,0.2115094259381294,0.8199636829737236,0.5901778154106689,0.967848750267037
feature_set_2,mlp,0.23478408455848696,0.7999893185216834,0.5989051338540623,0.9582354197820978
feature_set_2,mlp,0.2554569548368454,0.7799615466780603,0.6080525883319639,0.9485152745139928
feature_set_2,mlp,0.2762634038925171,0.7599871822260201,0.6169360505973296,0.9377269814142277
feature_set_2,mlp,0.2964043611288071,0.7400128177739799,0.6253608545034642,0.9255500961333049
feature_set_2,mlp,0.3144456934928894,0.7199850459303567,0.6328165566352645,0.9112369151890621
feature_set_2,mlp,0.33228138387203215,0.7000106814783166,0.6423285267414359,0.8992736594744712
feature_set_2,mlp,0.35051790714263914,0.6799829096346934,0.6500157084511468,0.8839991454817346
feature_set_2,mlp,0.367448942065239,0.6600085451826533,0.6592490694287102,0.870220038453322
feature_set_2,mlp,0.3844432747364044,0.6399807733390301,0.6662772260702662,0.8528092287972655
feature_set_2,mlp,0.40049998223781585,0.62000640888699,0.6761995003876303,0.8384960478530229
feature_set_2,mlp,0.41607261896133424,0.5999786370433668,0.6855082784404486,0.8225806451612904
feature_set_2,mlp,0.43216186642646787,0.5800042725913266,0.6953959484346225,0.8066652424695578
feature_set_2,mlp,0.4478805661201477,0.5600299081392864,0.7034140759107381,0.7878658406323436
feature_set_2,mlp,0.46233213901519776,0.5400021362956633,0.7107111067154585,0.7675710318308053
feature_set_2,mlp,0.47733909606933594,0.5199743644520401,0.7182621199671323,0.7469557786797693
feature_set_2,mlp,0.4924335181713104,0.5,0.7270882290108951,0.7270882290108951
feature_set_2,mlp,0.5074030423164368,0.48002563554795985,0.7346461949265688,0.7052980132450332
feature_set_2,mlp,0.5224919795989991,0.4599978637043367,0.7444560548008824,0.684896389660329
feature_set_2,mlp,0.5377283549308777,0.4400234992522965,0.7532467532467533,0.662892544328135
feature_set_2,mlp,0.5534448802471161,0.41999572740867336,0.7620803662258393,0.6401409955137791
feature_set_2,mlp,0.5716216802597045,0.4000213629566332,0.769826435246996,0.6158940397350994
feature_set_2,mlp,0.5874461042881012,0.37999359111301007,0.778355586788475,0.5915402691732535
feature_set_2,mlp,0.603568058013916,0.36001922666096986,0.7866785343420858,0.5664387951292459
feature_set_2,mlp,0.6183866226673127,0.3399914548173467,0.7948476280238769,0.5404828028199102
feature_set_2,mlp,0.6358245205879212,0.32001709036530657,0.8037383177570093,0.5144199957274087
feature_set_2,mlp,0.6524077594280243,0.2999893185216834,0.8123553498308705,0.4873958555864132
feature_set_2,mlp,0.6706662893295288,0.2800149540696432,0.8228113675376693,0.4607989745780816
feature_set_2,mlp,0.6894821727275848,0.2599871822260201,0.8313475760065735,0.4322794274727622
feature_set_2,mlp,0.707565860748291,0.24001281777397993,0.8433466844681798,0.40482802819910274
feature_set_2,mlp,0.7292432975769043,0.22003845332193975,0.8531553398058253,0.37545396282845545
feature_set_2,mlp,0.7517747282981875,0.2000106814783166,0.865954606141522,0.3464003418073061
feature_set_2,mlp,0.7724879324436188,0.18003631702627643,0.8768911302284189,0.31574449903866697
feature_set_2,mlp,0.7933580088615417,0.16000854518265328,0.8931909212283045,0.2858363597521897
feature_set_2,mlp,0.8172364556789399,0.1400341807306131,0.9069412662090007,0.25400555436872463
feature_set_2,mlp,0.8394680356979372,0.12000640888698996,0.9207832665776591,0.22099978637043366
feature_set_2,mlp,0.864177703857422,0.1000320444349498,0.9311265349706354,0.18628498184148687
feature_set_2,mlp,0.8894973468780517,0.08000427259132664,0.9472630173564753,0.15157017731254005
feature_set_2,mlp,0.9161700022220614,0.06002990813928648,0.9670818505338078,0.11610766930143132
feature_set_2,mlp,0.9505116581916808,0.04000213629566332,0.986648865153538,0.07893612475966674
feature_set_2,mlp,0.9826486241817475,0.020027771843623157,0.9946666666666667,0.03984191412091433
feature_set_2,mlp,0.9987303614616394,5.3407391582995086e-05,1.0,0.00010681478316599017
feature_set_3,linear,0.013818043284118176,1.0,0.5,1.0
feature_set_3,linear,0.0828535272181034,0.9799722281563769,0.5096735516921903,0.9989318521683401
feature_set_3,linear,0.12145850718021392,0.9599978637043367,0.5193324061196106,0.9971160008545182
feature_set_3,linear,0.15455420315265653,0.9399700918607136,0.5288636363636363,0.9942320017090366
feature_set_3,linear,0.18792937755584715,0.9199957274086734,0.5376175548589341,0.989211706900235
feature_set_3,linear,0.21834646314382555,0.8999679555650502,0.5461990386327221,0.9831232642597736
