variant,name,need_pearson,need_mae,need_target_mean,need_pred_mean,need_target_max,need_pred_max,hard_negative_pixels,false_strong_pixels,low_context_false_strong_rate
d7a_hn_ordinal,517_0.95_1.51.png,-0.051639272535045064,0.3838316798210144,0.7713538408279419,0.4244500994682312,0.9998571276664734,0.5059665441513062,13,0,0.0
d7a_hn_ordinal,533_0.96_1.51.png,0.04549837760335124,0.24240249395370483,0.5803457498550415,0.39373618364334106,0.9990004897117615,0.5015914440155029,8,0,0.0
d7a_hn_ordinal,540_0.92_1.97.png,-0.5840338305465157,0.4006942808628082,0.7786052227020264,0.3996921181678772,1.0,0.5219331979751587,0,0,nan
d7a_hn_ordinal,595_0.78_1.11.png,-0.1374758797698456,0.29193171858787537,0.5794384479522705,0.37117868661880493,0.9589796662330627,0.4984860122203827,66,0,0.0
d7a_hn_ordinal,59_0.59_1.43.png,0.15590441093567167,0.2862846851348877,0.6386616230010986,0.3817988634109497,0.9891634583473206,0.48722052574157715,171,0,0.0
d7a_hn_ordinal,603_0.67_1.99.png,0.1979047887023031,0.35746675729751587,0.749896764755249,0.40616804361343384,0.9956734776496887,0.5034118294715881,0,0,nan
d7a_hn_ordinal,624_0.88_1.47.png,0.5693031701750614,0.3887637257575989,0.7421563267707825,0.36587828397750854,0.9949389696121216,0.4695700705051422,57,0,0.0
d7a_hn_ordinal,687_0.89_1.42.png,-0.16138873628922068,0.30579525232315063,0.6080613136291504,0.3880935311317444,0.9992860555648804,0.5230763554573059,137,0,0.0
d7a_hn_ordinal,692_0.69_1.32.png,-0.1388089274623135,0.32077866792678833,0.6673876643180847,0.374715656042099,0.9707346558570862,0.4653613865375519,30,0,0.0
d7a_hn_ordinal,714_0.84_0.79.png,0.6149624855758039,0.23007452487945557,0.505467414855957,0.3201218247413635,0.9861016273498535,0.4659276604652405,812,0,0.0
d7a_hn_ordinal,746_0.64_0.98.png,0.28106864833146084,0.28907203674316406,0.5793619155883789,0.35557281970977783,0.9681839346885681,0.4739099442958832,470,0,0.0
d7a_hn_ordinal,755_0.86_0.67.png,0.6072123939768596,0.2787848711013794,0.5073914527893066,0.3045618534088135,0.9971227645874023,0.41782036423683167,847,0,0.0
d7a_hn_ordinal,787_0.88_0.71.png,-0.18578683627654116,0.19155660271644592,0.4588190019130707,0.3840191960334778,0.9784491658210754,0.4887014925479889,54,0,0.0
d7a_hn_ordinal,80_0.99_1.95.png,-0.16117423297491387,0.44867053627967834,0.8212477564811707,0.38907331228256226,0.999571681022644,0.5129057168960571,0,0,nan
d7a_hn_ordinal,810_0.78_1.52.png,0.4417272540724333,0.3667365312576294,0.7193765640258789,0.3758264482021332,1.0,0.46837204694747925,164,0,0.0
d7a_hn_ordinal,826_0.81_1.2.png,0.44808351058045126,0.5416960716247559,0.9188392162322998,0.37714308500289917,0.9942246079444885,0.47860434651374817,0,0,nan
