variant,control_family,action_name,stage_set,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,source_bucket,target_bucket,is_impossible_sanity_control,is_plausible_miscalibration,is_plausible_routing_error,gate_role
alignment_gate,impossible_sanity,overstrong_3.0,S6_early_mid_final,16,-2.2138649225234985,-5.3732123374938965,-5.693256378173828,0.75,0.75,hard_bottom25,hard_bottom25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S6_early_mid_final,29,-2.1296028268748315,-5.852949523925782,-6.065677642822266,0.7586206896551724,0.7586206896551724,mid_50,mid_50,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,sign_flip,S4_final_decoder,20,-0.6194250106811523,-1.6449005126953125,-1.9042892456054688,0.75,0.7,all,easy_top25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,sign_flip,S4_final_decoder,20,-0.3096616744995117,-0.8288267135620118,-0.8686866760253906,0.8,0.5,all,hard_bottom25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,sign_flip,S4_final_decoder,40,-0.599855613708496,-1.282777976989746,-1.4167976379394531,0.85,0.75,all,mid_50,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,sign_flip,S4_final_decoder,20,-0.2998964309692383,-0.8256973266601563,-0.914093017578125,0.75,0.6,easy_top25,easy_top25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,sign_flip,S4_final_decoder,20,-0.9032907485961914,-1.6934303283691405,-1.7871894836425781,0.9,0.8,hard_bottom25,hard_bottom25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,sign_flip,S4_final_decoder,40,-0.8101082801818847,-1.6993730545043946,-1.804086685180664,0.875,0.825,mid_50,mid_50,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,sign_flip,S5_bottleneck_mid,20,-0.5997690200805664,-1.5042329788208009,-1.521240234375,0.75,0.75,all,easy_top25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,sign_flip,S5_bottleneck_mid,20,-0.4163158416748047,-0.8597957611083984,-1.0229682922363281,0.9,0.7,all,hard_bottom25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,sign_flip,S5_bottleneck_mid,40,-0.6436189651489258,-1.330662727355957,-1.3913249969482422,0.825,0.775,all,mid_50,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,sign_flip,S5_bottleneck_mid,20,-0.3712362289428711,-1.009209442138672,-1.0254592895507812,0.85,0.6,easy_top25,easy_top25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,sign_flip,S5_bottleneck_mid,20,-0.9690723419189453,-1.8611373901367188,-1.921295166015625,0.9,0.85,hard_bottom25,hard_bottom25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,sign_flip,S5_bottleneck_mid,40,-0.7501930236816406,-1.5969457626342773,-1.616302490234375,0.875,0.85,mid_50,mid_50,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,sign_flip,S6_early_mid_final,20,-0.8249687194824219,-1.8799570083618165,-2.029296875,0.75,0.75,all,easy_top25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,sign_flip,S6_early_mid_final,20,-0.44986495971679685,-1.0817079544067383,-1.155364990234375,0.85,0.65,all,hard_bottom25,1,0,0,sensitivity_lower_bound
